"theme","quote","attribution","bio","challenge"
"Surprises","Love lives on a diet of small surprises.","Source Unknown",,"The Challenge for today is to surprise someone you love with an act of kindness."
"Communication","In school, I learned how to read, how to write and how to do math, but nobody ever taught me how to communicate with the people in my life who I loved.","Yvonne St. John-Dutra","A mother of four daughters and the co-founder of Challenge Day, a nonprofit organization, St. John has been a visionary for peace and love across the planet for the past 20 years.  Together with her partner and husband, they have launched the Be the Change Movement, which teaches youth and their communities to follow the words of Mahatma Gandhi, 'You must be the change you wish to see in the world.","The Challenge for today is to make a point to sit down and communicate a truth, a fear or an appreciation with someone you love."
"Habits","Bad habits are like a comfortable bed, easy to get into, but hard to get out of.","Source Unknown",,"The Challenge for today is to choose a habit you'd like to change.  Get into action and share your goal with someone you trust to support you."
"Peaceful Warrior","The peaceful warrior's way is not about invulnerability, but absolute vulnerability.","Dan Millman","Millman is an American author of 13 self-help books, the most famous of which is the semi-autobiographical novel, Way of the Peaceful Warrior.","The Challenge for today is to choose someone you trust and take turns sharing some of your most pressing thoughts and feelings."
"Be a Beginner","You can learn new things at any time in your life if you are willing to be a beginner.  If you actually learn to like being a beginner, the whole world opens up to you.","Barbara Sher","Sher is a business owner, career counselor and best-selling author of seven books, each of which provides a nuts-and-bolts method for uncovering natural talent and turning dreams into realities. She is often referred to as the 'godmother of life coaching.","The Challenge for today is to risk being a beginner.  Try something you've never done before."
"Hugs","Hugging is all-natural.  It is organic, naturally sweet, no artificial ingredients, non-polluting, environmentally friendly and 100% wholesome. ... Hugging is practically perfect.  No batteries to wear out, inflation-proof, non-fattening, no monthly payments, theft-proof and non-taxable.","Source Unknown  ",,"The Challenge for today is to notice when and where you choose to share hugs.  Step outside your comfort zone and offer hugs to at least three new people today.          "
"Success","Put your heart, mind, intellect and soul even to your smallest acts.  This is the secret of success.","Sivananda Saraswati","Swami Saraswati  was a Hindu spiritual teacher and a well known proponent of Yoga and Vedanta.  He studied medicine and served as a physician for several years before taking up monasticism.  ","The Challenge for today is to think of three occasions when a small act of change resulted in the results you desired."
"Seeing","We don't see things as they are, we see things as we are.","Anais Nin","Nin was a Cuban-French author who became famous for her published journals, which span more than 60 years.","The Challenge for today is to think of two things you can look at differently if you were to change your perspective."
"Humility","You cannot be a leader, and ask other people to follow you, unless you know how to follow.","Sam Rayburn","Rayburn was a democratic politician from Bonham, Texas. 'Mr. Sam,' as he was widely known, served as the Speaker of the United States House of Representatives for 17 years and is regarded by some historians as the most effective Speaker in history.","The Challenge for today is to think of at least one opportunity you have to lead by example, stay humble and be open to following."
"Ask the Right Questions","To get the right answers, it helps to ask the right questions.","Anonymous",,"The Challenge for today is to ask questions that really matter.  At least once today, take the risk of raising your hand, pausing a conversation or seeking out someone who has the answers you need."
"Be Careful","You got to be careful if you don't know where you're going, because you might get there!","Lawrence 'Yogi' Berra","Berra is a former Major League Baseball player and manager.  He played almost his entire career for the New York Yankees and was elected to the baseball Hall of Fame in 1972.  Berra was one of only four players to be named Most Valuable Player of the American League three times.","The Challenge for today is to be conscious of every choice you make.  Focus on being the best you can be."
"Being Yourself","When I'm trusting and being myself...everything in my life reflects this by falling into place easily, often miraculously.","Shatki Gawain","Gawain is a pioneer in the field of personal development as a best-selling author and internationally renowned teacher of consciousness.","The Challenge for today is to be yourself in all that you do and express gratitude for two things that can go easier when taking this approach."
"Give Love","The love we give away is the only love we keep.","Elbert Hubbard","Hubbard was an American writer, publisher, artist, and philosopher.  He was an influential exponent of the arts and crafts movement. ","The Challenge for today is to complete three acts to generously share your love and appreciation with those you care about."
"Journey","A journey of a thousand miles begins with a single step.","Confucius","Confucius was a Chinese thinker and social philosopher, whose teachings deeply influenced Chinese, Korean, Japanese and Vietnamese thought and life.  His philosophy emphasized personal and governmental morality, correctness of social relationship, justice and sincerity.  Confucius' thoughts have been developed into a system known as Confucianism.","The Challenge for today is to take at least one positive step toward creating the relationships and life of your dreams."
"Right to Pass","No one can decide how you will live your life or how you respond to any given situation.  The choice is yours alone.  If you wonder whether something is right for you, look no further than your own heart to find the perfect answer.","Rich Dutra-St. John","The father of four daughters and co-founder of Challenge Day, Dutra's vision for the planet is to create a world where every child feels safe, loved, and celebrated.  Together with his partner and wife, they have launched the Be the Change Movement, which teaches youth and their communities to follow the words of Mahatma Gandhi, 'You must be the change you wish to see in the world.","The Challenge for today is to make a decision for yourself that leaves you feeling proud of who you are rather than giving into peer pressure."
"Love Cures","Love cures people, both the ones who give it and the ones who receive it.","Karl Menninger, M.D.","Menninger is an American psychiatrist and a member of the famous Menninger family of psychiatrists who founded the Menninger Foundation and the Menninger Clinic in Topeka, Kansas.","The Challenge for today is to find two ways to communicate your love with the people in your life."
"Love","Love is not what we become, but what we are.","Steven Levine","Levine is an American poet, author, and teacher best known for his work on death and dying.","The Challenge for today is to choose love in every interaction.  Look for opportunities to share your gifts with at least two others."
"Courage","Courage is not a lack of fear.  It is a acting in spite of it.","Mark Twain","Born Samuel Langhorne Clemens, but better known by his pen name, Mark Twain was an American author and humorist.  Twain is most noted for his novel Adventures of Huckleberry Finn, which has since been called The Great American Novel.  Twain became a friend to presidents, artists, industrialists and European royalty.","The Challenge for today is take a healthy risk and overcome a fear."
"Touch of Love","At the touch of love, everyone becomes a poet.","Plato","Plato was a classical Greek philosopher, who, with his mentor, Socrates, and his student, Aristotle, helped to lay the foundation of Western philosophy.  Plato was a mathematician, writer of philosophy and the founder of the Academy in Athens.","The Challenge for today is to write a card, letter or poem for someone you love."
"Be Yourself","Always be a first-rate version of yourself, instead of a second-rate version of somebody else.","Judy Garland","Garland was an actress and singer for more than 45 years.  She made more than two dozen films including the film with which she would be most identified is The Wizard of Oz.","The Challenge for today is to pick at least one instance where you can be yourself, tell your truth and make your opinions known."
"Positivity","Keep your face to the sunshine and you cannot see the shadows.","Helen Keller","Keller was an American author, activist and lecturer.  She was the first deaf blind person to have graduated from college.  What is less known about Keller was her opposition to war and her campaign for women's suffrage, workers' rights and socialism.","The Challenge for today is to find a friend and share a negative experience where you have chosen to be positive instead."
"Brilliance","All of us have something to learn. All of us have something to teach.","Source Unknown",,"The Challenge for today is to look for every opportunity to share your knowledge and listen for lessons from others."
"Reflection","There is only one corner of the universe that you can be certain of improving and that's your own self.","Aldous Huxley","Huxley was an English writer and one of the most prominent members of the famous Huxley family. He is best known for his novels. He was also well known for advocating the use of and taking hallucinogens and is considered by many to be the 'spiritual father' of the hippie movement.","The Challenge for today is to make at least one choice and take at least one action you believe that will move you closer to being the man or woman of your dreams."
"Integrity","The future of humanity depends on the integrity of the individual. It is absolutely touch and go. Each one of us could make the difference.","Buckminster Fuller","Known as 'Bucky,' Fuller was an American architect, author, designer, futurist, inventor and visionary who lends his name to a family of complex carbon structures.","The Challenge for today is to think of two ways you could be more honest with yourself and others."
"Courage","Courage is being scared to death and saddling up anyway.","John Wayne","Wayne was an American film actor.  He epitomized rugged masculinity and is seen as an American icon.  He is famous for his distinctive voice, walk and height.  Mostly known for playing the role of the rugged cowboy, he is also known for his conservative political views and his support in the 1950s anti-communist era.","The Challenge for today is to feel a fear and not let it hold you back.  Whatever the thing is that you fear, if you know it's good for you, have the courage to do it."
"Give It All","I can't imagine a person becoming a success who doesn't give the game of life everything he's got.","Walter Cronkite","Cronkite is a retired American broadcast journalist, best known as anchorman for the CBS Evening News for 19 years from 1962-1981.  During the 1970s and 1980s he was often cited in viewer opinion poles as 'the most trusted man in America' because of his professional experience and kind demeanor.","The Challenge for today is to two risks that may result in failing.  Once you do, you have taken the first step toward success."
"Your Mission","Here's the test to find whether your mission on earth is finished. If you're alive, it isn't.","Richard Bach","Bach is an American writer.  His books espouse his philosophy that our apparent physical limits and mortality are merely appearance.  He is noted for his love of flying and for his books related to air flight and flying in a metaphorical context.","The Challenge for today is to notice two ways you choose to create the life of your dreams."
"Listen","The first duty of love is to listen.","Paul Tillich","Tillich was a German-American theologian and Christian existentialist philosopher.  Tillich is considered to be one of the most influential Protestant theologians of the twentieth century.","The Challenge for today is to find someone who needs to be heard and really listen."
"Differences","Differences are wonderful -- it's divisions that hurt us all.","Yvonne St. John-Dutra","A mother of four daughters and the co-founder of Challenge Day, a nonprofit organization, St. John has been a visionary for peace and love across the planet for the past 20 years.  Together with her partner and husband, they have launched the Be the Change Movement, which teaches youth and their communities to follow the words of Mahatma Gandhi, 'You must be the change you wish to see in the world.","The Challenge for today is to celebrate the diversity of everyone you see.  Choose at least one person you don't already know and find out more about who they are."
"Forgiveness","We must develop and maintain the capacity to forgive.  He who is devoid of the power to forgive is devoid of the power to love.  There is some good in the worst of us and some evil in the best of us.  When we discover this, we are less prone to hate our enemies.","Dr. Reverend Martin Luther King, Jr.","A Baptist minister, MLK became a civil rights activist early in his career.  His efforts led to the 1963 March on Washington, where King delivered his 'I Have a Dream' speech.  There, he raised public consciousness of the civil rights movement and established himself as one of the greatest orators in U.S. history.","The Challenge for today is to decide who you need to forgive.  Choose at least one and forgive him or her."
"Success and Failure","I've missed more than 9,000 shots in my career.  I've lost almost 300 games; 26 times, I've been trusted to take the game-winning shot and missed.  I've failed over and over and over again in my life.  And that is why I succeed.","Michael Jordan","Jordan is a retired American professional basketball player and active businessman.  His biography on the National Basketball Association website reads:  'By acclamation, Michael Jordan is the greatest basketball player of all time.","The Challenge for today is to think of two times in your life when missing your mark still helped you become successful."
"Breathe","Breathing teaches you everything you need to know right under your nose.","Gay Hendricks","Hendricks is a psychologist, writer and practitioner in the field of personal growth, relationships and the mind-body connection.  He is best known for his work in relationship enhancement and in the development of conscious breathing exercises, which proponents believe increase awareness, energy levels and relaxation.","The Challenge for today is to stay conscious of your breathing.  Take time to notice yourself in one hurried moment and see if you can just be present. "
"Dreams","Dream!  Dream!  And then go for it!","Desmund Tutu","Desmund Tutu is a South African cleric and activist who rose to worldwide fame during the 1980s as an opponent of apartheid.  He is vocal in his defense of human rights and uses his high profile to campaign to fight issues related to AIDS, homophobia, poverty and racism.  Tutu has been awarded the Nobel Peace Prize, the Albert Schweitzer Prize for Humanitarianism and the Gandhi Peace Prize.","The Challenge for today is to share two dreams with someone you trust."
"Joy and Sorrow","The deeper that sorrow carves into your being, the more joy you can contain.","Kahlil Gibran","Gibran was a Lebanese-American artist, poet, writer, philosopher and theologian.  He is the third bestselling poet in history after William Shakespeare and Laozi.","The Challenge for today is to give yourself permission to be completely, fully alive.  Feel your feelings and share them with someone you trust that will really listen."
"Greatest Glory","Our greatest glory consists not in never falling, but in rising every time we fall.","Ralph Waldo Emerson","Emerson was an American essayist, philosopher, poet and a leader of the Transcendentalist movement in the early 19th century.  His support for abolitionism late in his life created much controversy, and he was, at times, subject to abuse from crowds.","The Challenge for today is to think of a time when you've been knocked down.  Notice, you are still standing.  Then celebrate the fact that you are a survivor!"
"Bring the Love Home","Peace, like charity, begins at home.","Franklin D. Roosevelt","Roosevelt, often referred to by his initials FDR, was the 32nd President of the United States.  He was the only president to serve more than two terms.  During the Great Depression of the 1930s, Roosevelt created the New Deal to provide relief for the unemployed, recovery of the economy and reform of the economic and banking systems.  What is least known about FDR is that he contracted Polio and spent most of his presidency trying to hide his illness from the public eye.","The Challenge for today is to go out of your way to share your appreciation and love with someone at home."
"Be Proud","First say to yourself what you would be: and then do what you have to do.","Epictetus","Epictetus was a Greek Stoic philosopher.  He was born a slave and lived in Rome until his exile to Nicoplis, Greece, where he lived most his life.  The name given by his parents, if he was given one at all, is not known.  The word epiktetos, used as the basis for his name, in Greek means 'acquired.","The Challenge for today is to act in two different ways that make you feel proud."
"Celebrate Life","The tree which moves some to tears of joy is in the eyes of others a green thing which stands in the way.  As a man is, so he sees.","William Blake","William Blake was an English poet, painter and printmaker.  He was largely unrecognized during his lifetime, but Blake's work is now considered seminal in the history of both poetry and the visual arts.","The Challenge for today is to consciously notice and appreciate three others, including yourself."
"Don't Just Go Along","In my humble opinion, non-cooperation with evil is as much a duty as is cooperation with good.","Mahatma Mohandas K. Gandhi","Gandhi was a major political and spiritual leader of India and the Indian independence movement.  He believed in moving the masses by acts of non-violent civil disobedience.  His birthday, October 2, is known worldwide as the International Day of Nonviolence.","The Challenge for today is to look for opportunities to intervene when you see teasing or injustice.  Take a stand for something you believe is right."
"Moment of Kindness","Peace is a daily, a weekly, a monthly process.","John F. Kennedy","Kennedy, often referred to by his initials JFK, was the 35th president of the United States, serving from 1961 until his assassination in 1963.  At 43, Kennedy was the youngest elected president and was the only president to have won a Pulitzer Prize. ","The Challenge for today is to turn rush hour into 'peace hour.'  Step back, let others pass in the halls, on the road, or wherever you are.  Give yourself the gift of calm and peace."
"Share Love With a Child","Give a little love to a child and get a great deal back.","John Ruskin","Ruskin, born in London, is best known for his work as an art critic, sage writer and social critic, but is remembered as an author, poet and artist as well.  Ruskin's essays on art and architecture were extremely influential in the Victorian and Edwardian eras.","The Challenge for today is to share love, smiles and fun with any child you see."
"Take Time to Play","You can discover more about a person in an hour of play than in a year of conversation.","Plato","Plato was a classical Greek philosopher, who, with his mentor, Socrates, and his student, Aristotle, helped to lay the foundation of Western philosophy.  Plato was a mathematician, writer of philosophy and the founder of the Academy in Athens.","The Challenge for today is to make sure to make time to play.  Be a kid, let go and have fun!"
"Love Yourself","To love yourself is the beginning of a lifelong affair.","Oscar Wilde","Wilde, who died in 1900, was an Irish playwright, poet and author of numerous short stories and one novel.  He was known for his biting wit and his play 'The Importance of Being Earnest' is still widely performed today.","The Challenge for today is to think of two ways you love yourself just the way you are."
"Get Organized","Out of clutter, find simplicity.","Albert Einstein","Einstein was a German-born theoretical physicist.  He is best known for his theory of relativity and specifically mass-energy equivalence, E=mc2.  In 1921 he received the Nobel Prize in Physics for his services to Theoretical Physics and especially for his discovery of the law of photoelectric effect.","The Challenge for today is to get organized.  Clean up and clean out the clutter of your locker, desk or a closet."
"Something Bigger","The more you lose yourself in something bigger than yourself, the more energy you will have.","Norman Vincent Peale","Peale was a Protestant preacher and author, most known for the controversial book The Power of Positive Thinking.  He was a progenitor of the theory of 'positive thinking.","The Challenge for today is to energize yourself by helping two others."
"Ideals","Each time a person stands up for an ideal, or acts to improve the lot of others, he sends forth a tiny ripple of hope, and crossing each other from a million different centers of energy and daring, those ripples build a current that can sweep down the mightiest walls of oppression and resistance.","Robert F. Kennedy","Kennedy, also referred to as RFK, was the United States Attorney General from 1961-1964 and a U.S. Senator from New York from 1965 until his assassination in 1968.","The Challenge for today is to stand up for something you believe in."
"Inner Guidance","Every time you don't follow your inner guidance, you feel a loss of energy, loss of power, a sense of spiritual deadness.","Shatki Gawain","Gawain is a pioneer in the field of personal development as a best-selling author and internationally renowned teacher of consciousness.  ","The Challenge for today is to think about two times you did not follow your inner guidance.  What did you learn from these experiences?"
"The Power of Words","Words and magic were in the beginning one and the same thing, and even today words retain much of their magical power.","Sigmund Freud","Freud was an Austrian psychiatrist who founded the psychoanalytic school of psychology.  Freud is best known for his theories of the unconscious mind and the defense mechanism of repression.  He is also known for creating the clinical practice of psychoanalysis, as well as his therapeutic techniques including the use of free association and interpretation of dreams as sources of insight into unconscious desires.  ","The Challenge for today is to stay conscious of the words that come from your mouth.  Notice one occasion where your words add to and subtract from the people around you."
"Greatness","We fear our highest possibility as well as our lowest one.  We are generally afraid to become that which we can glimpse in our most perfect moments.","Abraham Maslow","Maslow was an American psychologist noted for his conceptualization of a hierarchy of human needs and is considered the father of humanistic psychology.","The Challenge for today is to face being your most magnificent self.  In your mind, what would make a moment perfect?"
"Life","Life is not a brief candle.  It is a splendid torch that I want to make burn as brightly as possible before handing on to future generations.","George Bernard Shaw","Shaw, born in Dublin, Ireland, moved to London in his early 20s and lived there for the duration of his life.  Although Shaw's first profitable writing was music and literary criticism, his talent was for drama and he wrote more than sixty plays. Most of his work surrounded the exploitation of working class men and women.  He is the only person to have been awarded both a Nobel  Prize for Literature (1924) and an Academy Award (1938), both of which were granted for his literary contributions.","The Challenge for today is to shine as brightly as you can.  Go out of your way to contribute to at least to others."
"Seeing","Every closed eye is not sleeping, and every open eye is not seeing.","Bill Cosby","Cosby is an American comedian, actor, author, television producer and activist.  A veteran stand-up performer, he got his start at various clubs and later created the humorous educational cartoon series Fat Albert and the Cosby Kids.  In the 1980s, he produced and starred in what is considered to be one of the decade's defining sitcoms, The Cosby Show.","The Challenge for today is to consider at least one instance when you could have seen things more clearly."
"What You Can Do","Do not let what you cannot do interfere with what you can do.","John Wooden","Wooden is a retired American basketball coach and a member of the Basketball Hall of Fame as both a player and as a coach.  He was the first person ever enshrined in both categories; only Lenny Wilkens and Bill Sharman have since been so honored.","The Challenge for today is to do what you can to make someone's day."
"Charity","A bone to the dog is not charity.  Charity is the bone shared with the dog when you are just as hungry as the dog.","Jack London","London was an American author who wrote The Call of the Wild, White Fang, and The Sea Wolf.  A pioneer in the world of commercial magazine fiction, he was one of the first Americans to make a lucrative career exclusively from writing.","The Challenge for today is to express gratitude for two occasions when others displayed charity to you."
"Be Kind","Kindness in words creates confidence.  Kindness in thinking creates profoundness.  Kindness in giving creates love.","Lao Tzu","According to Chinese tradition, Lao Tzu lived in the 6th century. He was a philosopher of ancient China and is a key figure in Taoism.  Lao Tzu or Laozi literally means 'Old Master.","The Challenge for today is to share your kindness with someone who wouldn't expect it."
"Courage and Risk Taking","We must be courageous but also reasonable.  The world admires us for walking a tightrope without falling off.  It asks us to keep our balance.","Lech Walesa","Walesa, born in 1943, is a Polish politician and former trade union and human rights activist.  He co-founded Solidarity, the Soviet bloc's first independent trade union, won the Nobel Peace Prize in 1983 and served as President of Poland from 1990-1995.","The Challenge for today is to dream big and take healthy risks.  Step outside your comfort zone and risk standing out and being different."
"Motivation and Learning","Most of the problems of education are problems of motivation, as teachers try to rush things.  They talk of geography before the child knows the way around his own backyard.  They teach history before the child understands anything about adult motivation. ...It would be far better, to let questions arise naturally. ...When a child is self-motivated, the teacher cannot keep him from learning.","Jean-Jacques Rousseau","Rosseau was a major philosopher, writer and composer of the eighteenth- century Enlightenment, whose political philosophy influenced the French Revolution.  His novel Emile, which he considered his most important work, is a seminal treatise on the education of the whole person for citizenship.","The Challenge for today is to ask a question which has arisen naturally but you have withheld."
"Understanding","It is understanding that gives us an ability to have peace.  When we understand the other fellow's viewpoint, and he understands ours, then we can sit down and work out our differences.","Harry S. Truman","Truman was the 33rd President of the United States, succeeding Franklin D. Roosevelt.  Truman, whose demeanor was considered very different from FDR, was a folksy, unassuming president.  He popularized such phrases as:  'The buck stops here' and 'If you can't stand the heat, you better get out of the kitchen.","The Challenge for today is to take the time to fully understand another person's point of view.  See if you can create a resolution to a past misunderstanding."
"True Power","Being powerful is like being a lady.  If you have to tell people you are, you aren't.","Margaret Thatcher","Thatcher is a retired British politician and the only woman to have held the position of Prime Minister of the United Kingdom.","The Challenge for today is to take notice and appreciate all the power you have to influence the people around you.  Once you notice, just celebrate to yourself.  Others will experience you even if you don't say a word."
"Make It Right","There is nothing as easy as denouncing.  It don't take much to see that something is wrong, but it takes some eyesight to see what will put it right again.","Will Rogers","Rogers was a Cherokee-American cowboy, comedian, social commentator, vaudeville performer and actor. ","The Challenge for today is to look through your life and see if there is anything you can do to make something right."
"Life Challenges","You may encounter many defeats, but you must not be defeated.  In fact, it may be necessary to encounter the defeats so you can know who you are, what you can rise from, how you can still come out of it.' ","Maya Angelou","Angelou is an American poet, memoirist and actress, as well as important figure in the American Civil Rights Movement.  Angelou is known for her series of six autobiographies, of which I Know Why the Caged Bird Sings (1969) is most well known, as well as for her body of poetry.  She was nominated for the Pulitzer Prize.","The Challenge for today is to take your challenges in stride. Have patience with yourself and keep moving forward."
"We Are Not Spectators","We are not passive spectators, but active contestants in the drama of our existence. We need to take responsibility for the kind of life we create for ourselves and others.","Nathaniel Branden, Ph.D.","Branden is a psychotherapist and writer best know today for his work in the psychology of self-esteem.","The Challenge for today is to take responsibility for your life and commit to take two actions that move you in a positive direction."
"Be Yourself","Be who you are and say what you feel because those who mind don't matter and those who matter don't mind.","Dr. Seuss","Dr. Seuss, the penname for Theodor Seuss Geisel, was an American writer and cartoonist whose works included The Cat in the Hat and Green Eggs and Ham. ","The Challenge for today is to show appreciation to two people who don't mind you being yourself."
"Motivation","I do not try to dance better than anyone else.  I only try to dance better than myself.","Mikhail Baryshnikov","Baryshnikov is a Soviet-born dancer, choreographer and actor often cited as one of the greatest ballet dancers of the 20th century.","The Challenge for today is to acknowledge one way you negatively compare yourself with others and make an effort to shift your focus."
"Expect Good","Worry is a misuse of imagination.  Live as many moments as possible in the quiet, joyous expectation of good.","Dan Zadra","Zadra is a leading authority on strategic communications.  He is the founder and Creative Cirector of Compendium Inc., where he produces award-winning books, magazines and executive training and communication programs.  Zadra has served as consultant for several Fortune 500 Companies.","The Challenge for today is to stay present and look for evidence that all is well.  Consider at least one worry you may be able to release."
"Truth","The truth does not change according to our ability to stomach it.","Mary Flannery O'Connor","Flannery O'Connor was an American novelist, short-story writer and essayist.","The Challenge for today is to identify two people who have helped you see truth in your life and express appreciation for their help."
"Judgment","If you judge people, you have no time to love them.","Mother Teresa","Mother Teresa was a Roman Catholic nun who founded the Missionaries of Charity in Calcutta, India in 1950.  She was known for her kind heart and avid humanitarianism, as well as her advocacy for the poor and helpless.  For more than 40 years she ministered to the poor, sick, orphaned and dying.  She won the Nobel Peace Prize in 1979 and India's highest civilian honor, the Bharah Ratna, in 1980 for her humanitarian work.","The Challenge for today is to notice who you judge in negative ways.  Change your focus.  See if you can find things you like or appreciate about them."
"Peace","Responsibility does not only lie with the leaders of our countries or with those who have been appointed or elected to do a particular job.  It lies with each of us individually.  Peace, for example, starts within each one of us.  When we have inner peace, we can be at peace with those around us.","Tenzin Gyatso","Gyatso, the 14th Dalai Lama, is head of state and spiritual leader of the people of Tibet and was awarded the 1989 Nobel Peace Prize.  ","The Challenge for today is to think of two ways you create inner peace for yourself."
"100% Responsible","Remember you are 100% responsible for all your actions. When you are wrong or you hurt someone, it's up to you to make things as right as possible.","Rich Dutra-St. John","The father of four daughters and co-founder of Challenge Day, Dutra's vision for the planet is to create a world where every child feels safe, loved and celebrated.  Together with his partner and wife, they have launched the Be the Change Movement, which teaches youth and their communities to follow the words of Mahatma Gandhi, 'You must be the change you wish to see in the world.","The Challenge for today is to take 100% responsibility for all your actions.  If necessary, make at least one apology to someone who deserves it."
"Make a Difference","In the end, I think my greatest concerns will be:  How much love did I have in my life?  How did I share my love?  Who loved me?  Whom did I treasure?  Whose lives did I impact?  Did my life make a difference to someone else?","Richard Carlson, Ph.D.","Carlson was an author, psychotherapist and motivational speaker, who rose to fame with the success of his book, Don't Sweat the Small Stuff...and It's All Small Stuff (1997), which became one of the fastest-selling books of all time and made publishing history as USA Today's bestselling book for two consecutive years.","The Challenge for today is to do at least one thing to contribute to the life of someone around you."
"Determination","We must remember that one determined person can make a significant difference, but a small group of determined people can change the course of history.","Sonia Johnson","Johnson is an American feminist, activist and writer.  She was an outspoken supporter of the Equal Rights Amendment.  In the late 1970s she was publicly critical of the position of The Church of Jesus Christ of Latter-day Saints, of which she was a member, against the proposed amendment.  She was eventually excommunicated from the church for her activities and went on to publish several radical feminist books.","The Challenge for today is to do one thing you can to make a positive difference and, if possible, combine your endeavors with the efforts of others."
"100% Alive","Those who do not know how to weep with their whole heart don't know how to laugh either.","Golda Meir","Meir was the fourth Prime Minister of the State of Israel.  Before serving as Prime Minister she served as the Minister of Labour and Foreign Minister.  She was often described as the 'Iron Lady' of Israeli politics and once was described as 'the best man in government.'  Meir was Israel's first and only woman Prime Minister.","The Challenge for today is to allow yourself to feel and express 100% of who you are with at least one trusted ally."
"Sincerity","The most exhausting thing in life is being insincere.","Anne Morrow Lindbergh","Lindberg was a pioneering American aviator, author and the spouse of fellow aviator Charles Lindbergh.","The Challenge for today is to take a close look at how you relate with at least two others.  Are you being true to yourself and sincere with those with whom you interact?"
"Good-bye and Hello","I hate good-byes.  I know what I need.  I need more hellos.","Snoopy","Snoopy is a fictional character in the long-running comic strip Peanuts by Charles M. Schulz.  He is Charlie Brown's pet beagle.","The Challenge for today is to share hellos with at least two new people."
"What's in the Way?","As long as we stand in our own way, everything seems to be in  the way.","Ralph Waldo Emerson","Emerson was an American essayist, philosopher, poet and a leader of the Transcendentalist movement in the early 19th century.  His support for abolitionism late in his life created much controversy, and he was, at times, subject to abuse from crowds.","The Challenge for today is to believe in yourself and create a step-by-step plan to achieve a goal. "
"Dream Big","If you can imagine it, you can achieve it; If you can dream it, you can become it.","William Arthur Ward","Ward, who was born and reared in Louisiana, authored more than 100 articles, poems and meditations which have been published in such magazines as Reader's Digest.  He was on the board of directors for organizations including Rotary, Red Cross and Boy Scouts of America.","The Challenge for today is to explore your wildest dreams.  If you could do anything you wanted in this world what would it be and why?  Share your dream with someone you trust to support you."
"Survivors","Although the world is full of suffering, it is also full of the overcoming of it.","Helen Keller","Keller was an American author, activist and lecturer.  She was the first deaf blind person to have graduated from college.  What is less known about Keller was her opposition to war and her campaign for women's suffrage, workers' rights and socialism.","The Challenge for today is to consider the times in your life when you have overcome challenges.  Find a friend and share what you gained and are grateful for from the experiences."
"Community Service","In every community, there is work to be done.  In every nation, there are wounds to heal.  In every heart, there is the power to do it.","Marianne Williamson","Williamson is a spiritual activist, author, lecturer and founder of The Peace Alliance, a grass roots campaign supporting legislation currently before Congress to establish a United States Department of Peace.","The Challenge for today is to concentrate on three actions you could take to bring healing to your community."
"Miraculous Moment","Be part of the miraculous moment.","Thich Nhat Hanh","Nhat Hanh, born October 11, 1926 in central Vietnam, is a Vietnamese Zen Buddhist monk, teacher, author, poet and peace activist.  He joined a Zen monastery at the age of 16, studied Buddhism as a novice, and was fully ordained as a monk in 1949. ","The Challenge for today is to create a miracle in someone's life.  Do something so nice or loving that it surprises even you."
"Don't Quit","It's not the size of the dog in the fight, it's the size of the fight in the dog.","Mark Twain","Born Samuel Langhorne Clemens, but better known by his pen name, Mark Twain was an American author and humorist.  Twain is most noted for his novel Adventures of Huckleberry Finn, which has since been called The Great American Novel.  Twain became a friend to presidents, artists, industrialists and European royalty.","The Challenge for today is to never give up on your dreams.  Find someone you trust to support you and share at least three goals you have for your life."
"Self Reflection","To put the world right in order, we must first put the nation in order; to put the nation in order, we must first put the family in order; to put the family in order, we must first cultivate our personal life; we must first set our hearts right.","Confucius","Confucius was a Chinese thinker and social philosopher, whose teachings deeply influenced Chinese, Korean, Japanese and Vietnamese thought and life.  His philosophy emphasized personal and governmental morality, correctness of social relationship, justice and sincerity.  Confucius' thoughts have been developed into a system known as Confucianism.","The Challenge for today is to look inside your heart and to decide if you are being the man or woman you are here to be."
"Solidarity","This is the duty of our generation as we enter the twenty-first century -- solidarity with the weak, the persecuted, the lonely, the sick and those in despair.  It is expressed by the desire to give a noble and humanizing meaning to a community in which all members will define themselves not by their own identity, but by that of others.","Elie Wiesel","Wiesel is a Jewish writer, professor, political activist, Noble Laureate and Holocaust survivor.  ","The Challenge for today is to express solidarity with at least two people who could benefit from your support."
"Trust","The only way to make a man trustworthy is to trust him.","Henry L. Stimson","Stimson was an American statesman who served as Secretary of War, Governor-General of the Philippines, and Secretary of State.","The Challenge for today is to share your appreciation with two people you consider trustworthy."
"Experience","Experience is the name everyone gives their mistakes.","Oscar Wilde","Wilde, who died in 1900, was an Irish playwright, poet and author of numerous short stories and one novel.  He was known for his biting wit and his play 'The Importance of Being Earnest' is still widely performed today.","The Challenge for today is to acknowledge two mistakes you are grateful to have experienced."
"Quitting","Every little bit helps.  Every little quit hurts.","Source Unknown",,"The Challenge for today is to focus on one thing you've quit in life that may be worth trying again. "
"Life","It's not what you get in life, but what you do with it.","Mike Smith","Smith, known as 'The Original' Mike Smith, is a curriculum writer and motivational speaker who focuses on the youth market and devotes his energy to helping improve schools.","The Challenge for today is to acknowledge two difficulties you have in life and how you can improve upon them."
